Area_Name,Year,,Sub_Group_Name,PT_1_3_Years,PT_3_5_Years,PT_5_10_Years,PT_6_12_Months,PT_Less_than_6_Months,,PT_Total
Andaman & Nicobar Islands,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),0,41,8,82,66,1,198
Andhra Pradesh,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),0,12884,2840,20398,11282,388,47792
Arunachal Pradesh,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),235,119,0,83,0,0,202
Assam,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),7561,6858,1934,1865,728,324,11709
Bihar,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),10938,13335,11211,1466,303,3290,29605
Chandigarh,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),354,225,101,137,285,15,763
Chhattisgarh,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),4889,3537,1996,3463,4119,1006,14121
Dadra & Nagar Haveli,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),79,83,8,22,6,1,120
Daman & Diu,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),54,9,10,14,9,2,44
Delhi,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),3200,1505,811,2687,2555,537,8095
Goa,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),499,203,121,282,103,73,782
Gujarat,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),12274,11346,5894,4857,2580,1419,26096
Haryana,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),9657,7069,2829,6136,3550,918,20502
Himachal Pradesh,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),2774,2938,843,583,676,15,5055
Jammu & Kashmir,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),2730,2256,817,1953,1689,259,6974
Jharkhand,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),4325,4725,4476,1061,109,4073,14444
Karnataka,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),22054,13390,6334,12084,10788,910,43506
Kerala,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),26470,10670,2820,12654,8811,570,35525
Lakshadweep,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1,0,0,2,0,0,2
Madhya Pradesh,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),27091,20057,10027,21957,32135,3415,87591
Maharashtra,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),19396,19124,13046,7215,2681,4874,46940
Manipur,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),0,1,8,2,85,18,114
Meghalaya,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),171,112,30,52,4,31,229
Mizoram,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),221,141,39,930,1726,12,2848
Nagaland,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),296,32,14,345,1179,3,1573
Odisha,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),12262,8024,4060,4102,1234,882,18302
Puducherry,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),159,88,38,629,2663,NULL,3418
Punjab,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),4760,2779,505,2501,1622,29,7436
Rajasthan,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),24731,19528,8068,10483,5843,1116,45038
Sikkim,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),88,7,0,31,NULL,0,38
Tamil Nadu,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),41833,21007,6617,38957,33737,683,101001
Tripura,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),621,485,213,256,228,27,1209
Uttar Pradesh,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),23745,31651,18817,2809,355,4568,58200
Uttarakhand,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1556,991,476,405,85,84,2041
West Bengal,2004,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),5434,3391,1976,2644,2026,462,10499
Andaman & Nicobar Islands,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),29,20,9,29,11,1,70
Andhra Pradesh,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),36454,11445,3008,16319,13755,291,44818
Arunachal Pradesh,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),377,171,13,145,0,0,329
Assam,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),7269,4793,2864,2615,1247,1300,12819
Bihar,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),11094,17560,13131,2057,212,3667,36627
Chandigarh,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),230,171,129,110,232,24,666
Chhattisgarh,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),4918,2964,1961,5243,4209,974,15351
Dadra & Nagar Haveli,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),54,33,12,42,25,NULL,112
Daman & Diu,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),26,21,12,6,5,1,45
Delhi,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),7459,4054,3719,6535,5288,1147,20743
Goa,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),412,230,92,139,85,1,547
Gujarat,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),15856,10680,5244,14924,6516,785,38149
Haryana,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),9442,8036,2931,4333,2633,536,18469
Himachal Pradesh,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),3217,2142,765,1355,581,38,4881
Jammu & Kashmir,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),2511,1851,907,1981,1968,444,7151
Jharkhand,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),3845,3842,3690,1205,400,3482,12619
Karnataka,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),24966,12797,5011,16935,15000,324,50067
Kerala,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),36755,21858,7365,12206,4594,319,46342
Lakshadweep,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),4,5,NULL,2,NULL,NULL,7
Madhya Pradesh,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),27741,23880,14257,19875,17047,3673,78732
Maharashtra,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),20226,18483,12375,7963,2613,4918,46352
Manipur,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),10,1,4,1,46,36,88
Meghalaya,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),130,103,85,94,12,37,331
Mizoram,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),77,60,0,95,206,0,361
Nagaland,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),63,102,2,1124,868,0,2096
Odisha,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),10323,7555,3514,3305,1107,1006,16487
Puducherry,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),288,51,7,937,1190,1,2186
Punjab,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),4844,2768,756,2752,1341,40,7657
Rajasthan,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),23336,18495,8422,8451,3725,1648,40741
Sikkim,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),124,8,NULL,57,NULL,NULL,65
Tamil Nadu,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),49979,18572,7381,40641,26714,1297,94605
Tripura,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),711,609,314,303,443,27,1696
Uttar Pradesh,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),29290,28058,18681,2789,352,4445,54325
Uttarakhand,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1087,1130,493,349,105,88,2165
West Bengal,2005,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),8413,6555,2607,2180,1583,1056,13981
Andaman & Nicobar Islands,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),80,36,74,5,2,8,125
Andhra Pradesh,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),28231,9256,3420,20717,13137,391,46921
Arunachal Pradesh,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),356,168,0,151,0,0,319
Assam,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),7792,5353,3326,3000,1490,1553,14722
Bihar,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),9958,16378,13393,2212,319,10629,42931
Chandigarh,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),354,243,259,173,374,40,1089
Chhattisgarh,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),4754,3040,1990,5682,4279,983,15974
Dadra & Nagar Haveli,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),72,36,54,69,10,0,169
Daman & Diu,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),28,14,9,11,7,7,48
Delhi,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),8064,4674,4104,6760,5373,1213,22124
Goa,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),360,228,70,143,78,32,551
Gujarat,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),18092,13345,4550,10471,7696,1226,37288
Haryana,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),9009,5408,3178,5015,2433,389,16423
Himachal Pradesh,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),2246,1666,808,1126,630,102,4332
Jammu & Kashmir,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),2194,2197,1680,2474,1909,760,9020
Jharkhand,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),6468,5054,4111,3754,469,1464,14852
Karnataka,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),25430,14779,6039,16374,13848,426,51466
Kerala,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),32713,27878,8654,10206,1955,198,48891
Lakshadweep,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),0,0,0,3,2,0,5
Madhya Pradesh,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),29439,18098,7298,25604,25214,1930,78144
Maharashtra,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),19947,20081,12808,6912,2252,3678,45731
Manipur,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),14,6,10,5,134,29,184
Meghalaya,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),214,136,99,52,14,88,389
Mizoram,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),171,72,66,830,2060,5,3033
Nagaland,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),59,15,0,281,245,0,541
Odisha,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),9876,7728,3111,3555,1279,1300,16973
Puducherry,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),886,166,45,1080,1076,NULL,2367
Punjab,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),6281,3642,878,2627,1031,79,8257
Rajasthan,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),27142,22435,9083,11037,5707,2265,50527
Sikkim,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),85,20,NULL,41,NULL,NULL,61
Tamil Nadu,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),40188,19000,5790,37378,31337,799,94304
Tripura,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),718,360,80,327,320,26,1113
Uttar Pradesh,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),30717,27343,18747,2665,352,4582,53689
Uttarakhand,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1617,884,377,698,252,37,2248
West Bengal,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),9555,6684,3867,8379,5638,1631,26199
Andaman & Nicobar Islands,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),91,54,75,16,8,18,171
Andhra Pradesh,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),35632,13800,3667,22815,16832,445,57559
Arunachal Pradesh,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),191,58,2,173,12,3,248
Assam,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),8211,4615,3318,3198,1470,1530,14131
Bihar,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),14164,19475,14554,2136,419,3012,39596
Chandigarh,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),511,339,403,183,109,49,1083
Chhattisgarh,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),6755,4253,3217,6795,4394,812,19471
Dadra & Nagar Haveli,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),38,25,24,72,10,4,135
Daman & Diu,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),29,46,29,22,3,13,113
Delhi,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),8144,7761,4094,4810,4963,1346,22974
Goa,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),452,191,80,123,71,15,480
Gujarat,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),18464,13449,4961,13748,9116,914,42188
Haryana,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),9796,5335,2677,4395,2539,350,15296
Himachal Pradesh,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1935,1557,870,812,540,104,3883
Jammu & Kashmir,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1888,2093,1686,1506,1631,410,7326
Jharkhand,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),14394,5037,6379,1695,335,5140,18586
Karnataka,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),23909,11778,3852,14909,15615,388,46542
